10 499.92 0 1680 7 240
24.31 7.66 83.0 80.68 8.14 82.68 31.15 31.68 74.52 15.24 
42.44 52.48 31.23 32.78 19.2 72.33 10.54 88.8 31.21 13.21 
3 1 8 8 1 8 3 3 7 2 
1 2 3 4 5 6 7 8 9 10 
2 1 1 1 1 1 2 2 1 3 
1 1 3 3 1 3 1 1 3 1 
4 9 3 9 10 6 9 9 9 5 
3732.83 4226.62 4621.44 4103.83 3422.57 4582.09 4117.61 4136.94 4060.97 3496.62 
0.33 0.16 0.87 0.17 0.76 0.38 0.16 0.17 0.16 0.26 
0.89 0.8 0.86 0.66 0.67 0.54 0.87 0.93 0.72 0.98 
0.64 0.94 0.83 1.0 1.0 0.89 0.7 0.58 1.0 0.62 
1.0 0.7 0.53 0.62 0.55 1.0 1.0 0.92 0.87 0.8 
0.86 0.56 0.83 0.67 0.56 0.67 0.75 1.0 0.58 0.84 
0.58 0.87 1.0 0.95 0.82 1.0 0.7 0.86 0.78 0.56 
0.28 0.25 0.32 0.26 0.17 0.32 0.32 0.43 0.29 0.23 
779.9 1060.95 1537.12 842.63 1462.77 1415.45 1268.89 852.57 680.13 787.87 
190.5 255.76 435.19 198.95 279.0 518.94 376.21 400.62 202.2 147.08 
3399.52 4804.76 7185.62 3713.17 6813.83 6577.23 5844.44 3762.83 2900.63 3439.37 
452.48 778.79 1675.93 494.74 895.01 2094.72 1381.03 1503.12 510.99 235.38 
111.98 84.53 92.43 82.08 68.45 91.64 123.53 124.11 81.22 139.86 
21 12 13 11 9 13 23 23 11 29 
37 94 20 23 118 134 122 152 190 0 
61 118 44 209 240 240 240 240 240 24 
2
0.0 0.0 
100.0 0.0 
0 14 8 6 15 15 11 12 13 4 14 12 
14 0 6 7 12 12 2 15 4 13 11 2 
8 6 0 2 8 8 4 9 4 6 7 4 
6 7 2 0 11 10 4 11 6 6 10 5 
15 12 8 11 0 0 10 5 7 11 1 10 
15 12 8 10 0 0 10 5 7 10 0 9 
11 2 4 4 10 10 0 13 3 10 9 1 
12 15 9 11 5 5 13 0 11 7 5 12 
13 4 4 6 7 7 3 11 0 11 6 2 
4 13 6 6 11 10 10 7 11 0 10 11 
14 11 7 10 1 0 9 5 6 10 0 8 
12 2 4 5 10 9 1 12 2 11 8 0 
